DB_Name,DBInstanceClass,Engine,InstanceStatus,MasterUsername,AvailabilityZone,VpcSecurityGroups,DBSubnetGroupName,DBSubnetGroupDescription,VpcId,SubnetGroupStatus,Endpoint_Address,Endpoint_Port,Endpoint_HostedZoneId,Subnets
database-1,db.t3.micro,mysql,available,admin,ap-south-1b,"[['sg-0afde513f50e1fb02', 'active']]",default-vpc-04179f77afc91e069,Created from the RDS Management Console,vpc-04179f77afc91e069,Complete,database-1.c5ugcdsxoqsy.ap-south-1.rds.amazonaws.com,3306,Z2VFMSZA74J7XZ,"[['subnet-002965b21f262fb9a', 'ap-south-1a', 'Active'], ['subnet-0cb3726766d68e9ba', 'ap-south-1b', 'Active']]"
praveenrds,db.t3.micro,mysql,available,admin,ap-south-1c,"[['sg-07b3a99c5ab92fdfb', 'active']]",default-vpc-0768d5027bcf4d8ba,Created from the RDS Management Console,vpc-0768d5027bcf4d8ba,Complete,praveenrds.c5ugcdsxoqsy.ap-south-1.rds.amazonaws.com,3306,Z2VFMSZA74J7XZ,"[['subnet-0325b2dd2c690222a', 'ap-south-1c', 'Active'], ['subnet-0379d970469eb6a4b', 'ap-south-1b', 'Active'], ['subnet-026bc12b56b8f8739', 'ap-south-1a', 'Active']]"
